,Label,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo
190,11630778.0,D,Comunitа educante,8.0,Formazione
415,11630779.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
91,11630779.0,D,Comunitа educante,7.0,Ascolto
240,11630779.0,D,Comunitа educante,8.0,Formazione
82,11630780.0,D,Comunitа educante,7.0,Ascolto
203,11630780.0,D,Comunitа educante,8.0,Formazione
167,11630781.0,D,Comunitа educante,8.0,Formazione
30,11630781.0,D,Comunitа educante,7.0,Ascolto
106,11630782.0,D,Comunitа educante,7.0,Ascolto
490,11630782.0,D,Comunitа educante,8.0,Formazione
419,11630783.0,B,Misure economiche,5.0,Benefit e scontistica
36,11630783.0,D,Comunitа educante,7.0,Ascolto
481,11630783.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
153,11630783.0,D,Comunitа educante,8.0,Formazione
368,11630783.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
169,11630784.0,D,Comunitа educante,8.0,Formazione
66,11630784.0,D,Comunitа educante,7.0,Ascolto
431,11630785.0,D,Comunitа educante,7.0,Ascolto
344,11630785.0,B,Misure economiche,5.0,Benefit e scontistica
75,11630785.0,D,Comunitа educante,8.0,Formazione
126,11630785.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
120,11630786.0,D,Comunitа educante,8.0,Formazione
20,11630787.0,D,Comunitа educante,7.0,Ascolto
23,11630787.0,D,Comunitа educante,8.0,Formazione
303,11630787.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
404,11630787.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
3,11630788.0,D,Comunitа educante,7.0,Ascolto
48,11630788.0,D,Comunitа educante,8.0,Formazione
359,11630788.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
401,11630788.0,B,Misure economiche,5.0,Benefit e scontistica
335,11630788.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
209,11630788.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
181,11630789.0,D,Comunitа educante,8.0,Formazione
34,11630789.0,D,Comunitа educante,7.0,Ascolto
400,11630789.0,B,Misure economiche,5.0,Benefit e scontistica
468,11630790.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
87,11630790.0,D,Comunitа educante,8.0,Formazione
433,11630790.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
393,11630790.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
62,11630791.0,D,Comunitа educante,8.0,Formazione
286,11630791.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
307,11630791.0,D,Comunitа educante,7.0,Ascolto
122,11630792.0,D,Comunitа educante,8.0,Formazione
398,11630792.0,D,Comunitа educante,7.0,Ascolto
395,11630793.0,B,Misure economiche,5.0,Benefit e scontistica
479,11630793.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
138,11630793.0,D,Comunitа educante,8.0,Formazione
474,11630793.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
473,11630793.0,B,Misure economiche,4.0,Agevolazioni e contributi
442,11630794.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
7,11630794.0,D,Comunitа educante,8.0,Formazione
108,11630794.0,D,Comunitа educante,7.0,Ascolto
349,11630794.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
133,11630795.0,D,Comunitа educante,8.0,Formazione
434,11630795.0,D,Comunitа educante,7.0,Ascolto
293,11630796.0,D,Comunitа educante,7.0,Ascolto
177,11630796.0,D,Comunitа educante,8.0,Formazione
151,11630797.0,D,Comunitа educante,8.0,Formazione
439,11630798.0,C,Informazione e comunicazione,6.0,Comunicazione
93,11630798.0,D,Comunitа educante,8.0,Formazione
440,11630798.0,B,Misure economiche,4.0,Agevolazioni e contributi
371,11630798.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
354,11630798.0,D,Comunitа educante,7.0,Ascolto
78,11630799.0,D,Comunitа educante,8.0,Formazione
119,11630799.0,B,Misure economiche,5.0,Benefit e scontistica
208,11630799.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
292,11630799.0,D,Comunitа educante,7.0,Ascolto
152,11630799.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
297,11630800.0,D,Comunitа educante,7.0,Ascolto
64,11630800.0,D,Comunitа educante,8.0,Formazione
367,11630800.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
