,Label,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo
412,11630825.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
285,11630826.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
299,11630826.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
213,11630826.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
495,11630826.0,D,Comunitа educante,8.0,Formazione
450,11630826.0,C,Informazione e comunicazione,6.0,Comunicazione
243,11630827.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
166,11630827.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
353,11630827.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
444,11630828.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
314,11630828.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
351,11630828.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
453,11630828.0,C,Informazione e comunicazione,6.0,Comunicazione
123,11630829.0,D,Comunitа educante,8.0,Formazione
454,11630829.0,D,Comunitа educante,7.0,Ascolto
370,11630830.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
312,11630830.0,B,Misure economiche,5.0,Benefit e scontistica
59,28344979.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
357,28344979.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
408,28344979.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
505,28344979.0,B,Misure economiche,5.0,Benefit e scontistica
114,28344981.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
413,28344981.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
491,28344981.0,D,Comunitа educante,8.0,Formazione
343,28344996.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
158,28344996.0,B,Misure economiche,5.0,Benefit e scontistica
488,28344996.0,B,Misure economiche,4.0,Agevolazioni e contributi
274,28344998.0,D,Comunitа educante,7.0,Ascolto
255,28345001.0,D,Comunitа educante,7.0,Ascolto
228,28345003.0,D,Comunitа educante,7.0,Ascolto
125,28345013.0,D,Comunitа educante,8.0,Formazione
476,28345013.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
332,28345013.0,D,Comunitа educante,7.0,Ascolto
407,28345013.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
176,28345016.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
322,44333554.0,B,Misure economiche,4.0,Agevolazioni e contributi
455,44333554.0,B,Misure economiche,5.0,Benefit e scontistica
484,44333557.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
305,44333557.0,B,Misure economiche,4.0,Agevolazioni e contributi
336,44333557.0,B,Misure economiche,5.0,Benefit e scontistica
486,44333592.0,C,Informazione e comunicazione,6.0,Comunicazione
372,90000004.0,B,Misure economiche,4.0,Agevolazioni e contributi
414,90000004.0,C,Informazione e comunicazione,6.0,Comunicazione
